pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol,stellar_luminosity,hz_inner,hz_outer,hz_center,hz_width,hz_position,in_habitable_zone,hz_distance_factor,esi_radius,esi_mass,esi_temperature,esi_composite,esi_surface,escape_velocity_ratio,atmospheric_retention,stellar_flux,stellar_class,stellar_temp_habitability,stellar_mass_habitability,stellar_lifetime_gyr,hz_score,esi_score,atm_score,stellar_score,habitability_score
Kepler-1313 b,Kepler-1313,1.675,,0.04619,5416.0,0.894,,Transit,2016,3.833091178,,0.787,,223.8,0.6755870493574192,0.7808439742003974,1.1260592048995206,0.953451589549959,0.3452152306991232,0.04844503958696241,False,-1.3147506848732278,0.7476635514018691,,,,,,,223.8,G,1.0,0.9470000000000001,13.232935723831933,0.0,0.0,0.5,1.0,0.2
Kepler-1315 b,Kepler-1315,1.287,,0.01617,4780.0,0.791,,Transit,2016,0.84338011,,0.703,,885.1,0.44016721540622805,0.6302784399803952,0.9089278555506755,0.7696031477655354,0.2786494155702802,0.021010828823852856,False,-1.6775568154414513,0.8745080891998251,,,,,,,885.1,K,0.9,0.8955,17.970443329587603,0.0,0.0,0.5,0.9,0.19
Kepler-1315 c,Kepler-1315,1.412,,0.0635,4780.0,0.791,,Transit,2021,6.56606842,,0.703,,57.6,0.44016721540622805,0.6302784399803952,0.9089278555506755,0.7696031477655354,0.2786494155702802,0.08251005753337393,False,-1.083493110055877,0.8291873963515755,,,,,,,57.6,K,0.9,0.8955,17.970443329587603,0.0,0.0,0.5,0.9,0.19
Kepler-1316 b,Kepler-1316,3.765,,0.39765,5936.0,1.083,,Transit,2016,87.9732136,,1.18,,9.8,1.3219030304100097,1.092253397772254,1.5751443736294612,1.3336988857008576,0.4828909758572073,0.2981557563430334,False,-0.5255568015324544,0.4197271773347324,,,,,,,9.8,G,1.0,0.9585,8.19273407417857,0.0,0.0,0.5,1.0,0.2
Kepler-132 b,Kepler-132,1.033,,0.06432,5910.0,0.929,,Transit,2014,6.17828255,,1.038,,284.8,0.7727784434270255,0.8351242693113945,1.2043371041648532,1.0197306867381237,0.3692128348534587,0.06307547751234632,False,-1.2001394529753968,0.9837678307919332,,,,,,,284.8,G,1.0,0.9645,12.021556862794746,0.0,0.0,0.5,1.0,0.2
Kepler-132 c,Kepler-132,1.234,,0.06596,5910.0,0.929,,Transit,2014,6.41490515,,1.038,,271.0,0.7727784434270255,0.8351242693113945,1.2043371041648532,1.0197306867381237,0.3692128348534587,0.06468374528473825,False,-1.1892048417433103,0.8952551477170994,,,,,,,271.0,G,1.0,0.9645,12.021556862794746,0.0,0.0,0.5,1.0,0.2
Kepler-1338 b,Kepler-1338,1.076,,0.01937,5834.0,1.106,,Transit,2016,0.935118057,,1.278,,4523.1,1.4227970117793012,1.1331700239288098,1.6341504555604944,1.383660239744652,0.5009804316316846,0.013999101400481552,False,-1.8538998407029967,0.9633911368015414,,,,,,,4523.1,G,1.0,0.947,7.7734208804450216,0.0,0.0,0.5,1.0,0.2
Kepler-1339 b,Kepler-1339,0.954,,0.02356,5874.0,0.968,,Transit,2016,1.341555127,,1.249,,3005.5,0.892408607644929,0.897440119673479,1.2942031199501751,1.0958216198118271,0.3967630002766961,0.021499849586874998,False,-1.6675645784015434,0.9764585465711361,,,,,,,3005.5,G,1.0,0.984,10.847049117495146,0.0,0.0,0.5,1.0,0.2
Kepler-251 e,Kepler-251,2.926,,0.40501,5492.0,0.891,,Transit,2014,99.6409653,,0.809,,3.3,0.6676855296480034,0.7762642530139611,1.119454764872765,0.947859508943363,0.343190511858804,0.4272890614891751,False,-0.3692782248886245,0.5094243504839531,,,,,,,3.3,G,1.0,0.9455,13.344605513163144,0.0,0.0,0.5,1.0,0.2
Kepler-1349 b,Kepler-1349,0.694,,0.03421,5970.0,1.178,,Transit,2016,2.12823928,,1.369,,1822.2,1.7742242733484805,1.2654000974778703,1.82484014057335,1.54512011902561,0.5594400430954798,0.022140673452348575,False,-1.6548091733312509,0.8193624557260921,,,,,,,1822.2,G,1.0,0.911,6.639521382360355,0.0,0.0,0.5,1.0,0.2
