pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,stellar_luminosity,hz_position,in_habitable_zone,esi_radius,esi_mass,esi_temperature,esi_surface,escape_velocity_ratio,stellar_flux,habitability_score,ml_target,is_habitable_optimized,is_habitable_relaxed,habitability_class_ml,pl_name,hostname
1.494,,0.04004,5851.0,1.066,,1.2506915522129776,0.03086462262927,False,0.8019246190858059,,,,,1251.9,0.2,1,1,1,Promising,Kepler-1193 b,Kepler-1193
11.066,,0.49896,5703.0,1.021,,1.075449686504805,0.4147751157225523,False,0.1657550140891761,,,,,4.2,0.2,0,0,0,Limited,Kepler-302 c,Kepler-302
1.196,,0.03497,5133.0,0.791,,0.440167215406228,0.0454390033376706,False,0.9107468123861566,,,,,276.4,0.19,1,1,1,Promising,Kepler-1179 b,Kepler-1179
3.189,,0.16689,5769.0,0.933,,0.7844870035607453,0.162434938701018,False,0.4774409166865601,,,,,49.1,0.2,0,0,0,Limited,Kepler-355 c,Kepler-355
1.606,,0.08979,5626.0,0.904,,0.7024080928159101,0.0923581508291308,False,0.7674597083653107,,,,,213.2,0.2,0,0,1,Moderate,Kepler-362 b,Kepler-362
2.097,,0.11456,6140.0,1.163,,1.6964028817781438,0.0758246675710759,False,0.6457862447529867,,,,,194.9,0.1699999999999999,0,0,1,Limited,Kepler-356 c,Kepler-356
1.644,,0.06299,4935.0,0.794,,0.4460378959506373,0.0813069630739066,False,0.7564296520423601,,,,,67.7,0.19,0,0,1,Moderate,Kepler-357 b,Kepler-357
7.57,,0.1956,5162.0,0.883,,0.6469377034712878,0.2096426447741875,False,0.2333722287047841,,,,,10.6,0.19,0,0,0,Limited,Kepler-46 b,Kepler-46
7.023,,0.17012,6218.0,1.525,,4.379700903601863,0.0700769446511465,False,0.2492833104823631,,,,,213.5,0.1699999999999999,0,0,0,Limited,Kepler-458 c,KIC 9663113
1.842,,0.09618,5678.0,1.06,,1.2262260227997774,0.0748758075371202,False,0.7037297677691766,,,,,115.6,0.2,0,0,1,Moderate,Kepler-454 b,Kepler-454
5.908,,0.07545,5620.0,0.942,,0.8112938050673969,0.0722124658217094,False,0.2895193977996525,,,,,113.6,0.2,0,0,0,Limited,Kepler-447 b,Kepler-447
2.069,,0.56254,4781.0,0.752,,0.368775823992881,0.7985722205596884,False,0.6516780710329098,,,,,0.7,0.4601979167248295,0,0,1,Moderate,Kepler-443 b,Kepler-443
1.857,,0.06721,5162.0,0.883,,0.6469377034712878,0.0720351848429097,False,0.7000350017500876,,,,,89.4,0.19,0,0,1,Moderate,Kepler-46 d,Kepler-46
8.184,,0.75318,6054.0,1.175,,1.758460159267812,0.4896373326636797,False,0.2177700348432055,,,,,7.4,0.1699999999999999,0,0,0,Limited,Kepler-460 c,KIC 5437945
11.559,,0.54558,5793.0,1.084,,1.3261800416471214,0.4084126717363256,False,0.1592483477983916,,,,,3.3,0.2,0,0,0,Limited,KOI-3680 b,KOI-3680
3.18,,0.04823,4932.0,0.857,,0.5826837099680822,0.0544681762790445,False,0.478468899521531,,,,,137.1,0.19,0,0,0,Limited,Kepler-472 b,Kepler-472
1.855,,0.05394,5235.0,0.916,,0.7355871905010872,0.0542170488077405,False,0.7005253940455342,,,,,161.8,0.2,0,0,1,Moderate,Kepler-48 b,Kepler-48
2.011,,0.09636,5159.0,0.764,,0.3897864654255346,0.1330532308101545,False,0.6642311524410495,,,,,39.4,0.19,0,0,1,Limited,Kepler-479 b,Kepler-479
2.47,,0.03989,4995.0,0.877,,0.631682109209721,0.0432669975179458,False,0.5763688760806915,,,,,213.6,0.19,0,0,1,Limited,Kepler-475 b,Kepler-475
4.535,,0.06092,5667.0,0.94,,0.8052810653384567,0.0585232130271772,False,0.3613369467028003,,,,,640.4,0.2,0,0,0,Limited,Kepler-474 b,Kepler-474
5.768,,0.12048,5708.0,1.1,,1.3959645769144722,0.0879062533919164,False,0.2955082742316784,,,,,226.7,0.2,0,0,0,Limited,Kepler-473 b,Kepler-473
2.364,,0.16848,5764.0,1.02,,1.0717675436629344,0.1402943121275084,False,0.5945303210463734,,,,,69.0,0.2,0,0,1,Limited,Kepler-467 b,Kepler-467
3.648,,0.07895,5779.0,0.948,,0.829524429803923,0.0747273454069055,False,0.4302925989672976,,,,,266.3,0.2,0,0,0,Limited,Kepler-461 b,Kepler-461
1.077,,0.04658,5805.0,0.979,,0.9284091698531638,0.0416746330320452,False,0.9629272989889264,,,,,410.4,0.2,1,1,1,Promising,Kepler-466 c,Kepler-466
2.523,,0.26769,5805.0,0.979,,0.9284091698531638,0.2394994099688317,False,0.5676979846721544,,,,,12.5,0.2,0,0,0,Limited,Kepler-466 b,Kepler-466
2.841,,0.09195,6207.0,1.048,,1.1783233646349078,0.0730233074706471,False,0.5206977349648529,,,,,238.2,0.1699999999999999,0,0,0,Limited,Kepler-465 b,Kepler-465
3.402,,0.07931,5920.0,1.262,,2.2579157977900137,0.0455004916670916,False,0.4543389368468877,,,,,447.0,0.2,0,0,0,Limited,Kepler-464 b,Kepler-464
3.62,,0.07925,5567.0,0.822,,0.503560158290701,0.0962754596957924,False,0.4329004329004329,,,,,156.6,0.2,0,0,0,Limited,Kepler-463 b,Kepler-463
2.719,,0.60756,5498.0,0.942,,0.8112938050673969,0.5814898043026879,False,0.5377789728421619,,,,,1.8,0.287130320471036,0,0,1,Limited,Kepler-439 b,Kepler-439
2.182,,0.11452,4734.0,0.709,,0.3000971169413795,0.1802156234270708,False,0.6285355122564424,,,,,14.7,0.19,0,0,1,Limited,Kepler-436 c,Kepler-436
2.431,,0.27937,4734.0,0.709,,0.3000971169413795,0.4396335899128604,False,0.5829204313611192,,,,,2.5,0.19,0,0,1,Limited,Kepler-436 b,Kepler-436
3.376,,0.27595,4961.0,0.831,,0.5231227209036543,0.3289051074599802,False,0.4570383912248629,,,,,3.9,0.19,0,0,1,Limited,Kepler-411 d,Kepler-411
