pl_name,hostname,pl_rade,pl_bmasse,pl_orbsmax,st_teff,st_mass,pl_eqt,discoverymethod,disc_year,pl_orbper,pl_orbeccen,st_rad,st_logg,pl_insol
K2-412 b,K2-412,2.116,,0.0586,5590.0,0.893,,Transit,2022,5.9382,,0.977,4.412,243.518
K2-411 b,K2-411,0.9898,,0.0511,5711.0,1.018,,Transit,2022,3.2141,,1.375,4.1693,619.038
K2-413 b,K2-413,0.7599,,0.0117,4116.0,0.808,,Transit,2022,0.8094,,0.7,4.656,921.755
K2-266 b,K2-266,3.3,11.26782377,0.01306,4285.0,0.686,1515.0,Transit,2018,0.658524,,0.703,4.581,879.5
K2-266 c,K2-266,0.705,0.29013072,0.0679,4285.0,0.686,664.5,Transit,2018,7.814,0.042,0.703,4.581,32.4
NGTS-21 b,NGTS-21,14.90794433,750.07504052,0.0236,4660.0,0.72,1357.0,Transit,2022,1.5433897,0.0,0.86,4.63,
LP 890-9 c,LP 890-9,1.367,25.3,0.03984,2850.0,0.118,272.0,Transit,2022,8.457463,,0.1556,5.126,0.906
CoRoT-36 b,CoRoT-36,15.80466279,216.12331676,0.066,6730.0,1.32,1567.0,Transit,2022,5.616531,0.0,1.52,4.16,
CoRoT-35 b,CoRoT-35,18.83108758,349.6112477,0.0429,6390.0,1.01,1747.0,Transit,2022,3.22748,0.0,1.65,4.01,
Kepler-970 b,Kepler-970,2.609,,0.139,4290.0,0.67,,Transit,2016,16.736525,0.34,0.71,,
K2-229 c,K2-229,2.03,,0.0769,5315.0,0.87,750.0,Transit,2018,8.32727,,0.79,4.59,
K2-224 c,K2-224,2.41,,0.0886,5620.0,0.91,764.0,Transit,2018,10.09489,,0.84,4.55,
K2-229 b,K2-229,1.14,,0.0131,5315.0,0.87,1818.0,Transit,2018,0.58426,,0.79,4.59,
K2-228 b,K2-228,1.21,,0.0338,4715.0,0.71,914.0,Transit,2018,2.69828,,0.65,4.66,
K2-162 b,K2-162,1.44,,0.0795,4842.0,0.75,631.0,Transit,2018,9.45889,,0.69,4.63,
K2-224 b,K2-224,1.56,,0.0516,5620.0,0.91,1002.0,Transit,2018,4.47904,,0.84,4.55,
K2-241 b,K2-241,2.55,,0.1567,5262.0,0.71,507.0,Transit,2018,26.8199,,0.75,4.54,
K2-154 b,K2-154,1.99,,0.0405,4097.0,0.65,715.0,Transit,2018,3.67626,,0.63,4.65,
K2-152 b,K2-152,2.29,,0.1716,4044.0,0.63,337.0,Transit,2018,32.6479,,0.61,4.67,
K2-258 b,K2-258,3.0,,0.149,6351.0,1.21,831.0,Transit,2018,19.0921,,1.31,4.29,
K2-242 b,K2-242,2.54,,0.0494,3459.0,0.38,416.0,Transit,2018,6.51389,,0.37,4.89,
K2-153 b,K2-153,2.0,,0.0614,3845.0,0.55,497.0,Transit,2018,7.51574,,0.53,4.73,
K2-230 b,K2-230,1.96,,0.0409,5945.0,1.11,1529.0,Transit,2018,2.86041,,1.39,4.2,
K2-154 c,K2-154,2.07,,0.0677,4097.0,0.65,552.0,Transit,2018,7.95486,,0.63,4.65,
K2-223 b,K2-223,0.89,,0.0127,5835.0,1.06,2271.0,Transit,2018,0.50565,,0.99,4.48,
K2-243 b,K2-243,2.17,,0.1087,6570.0,1.29,1035.0,Transit,2018,11.54182,,1.39,4.26,
K2-223 c,K2-223,1.57,,0.0549,5835.0,1.06,1091.0,Transit,2018,4.56327,,0.99,4.48,
K2-247 c,K2-247,2.19,,0.0615,4667.0,0.74,688.0,Transit,2018,6.49424,,0.69,4.63,
K2-248 b,K2-248,2.57,,0.0699,5528.0,0.88,886.0,Transit,2018,7.17256,,0.92,4.45,
K2-249 b,K2-249,2.79,,0.1151,6504.0,1.32,1061.0,Transit,2018,12.409,,1.57,4.16,
